Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,0.398000,0.411000,0.383250,0.392500,0.370251,5421052000
2014-02-01,0.395250,0.476250,0.383000,0.459500,0.433453,7722568000
2014-03-01,0.449250,0.474250,0.439000,0.447750,0.424276,7217988000
2014-04-01,0.462000,0.486500,0.447000,0.461750,0.437542,6937008000
2014-05-01,0.468750,0.478250,0.442750,0.475000,0.450097,5612600000
2014-06-01,0.476500,0.493250,0.455750,0.463500,0.441223,5277132000
2014-07-01,0.463000,0.490000,0.435500,0.437500,0.416473,6269036000
2014-08-01,0.437500,0.487250,0.433500,0.486250,0.462880,6079852000
2014-09-01,0.487500,0.503750,0.455500,0.461250,0.441024,5512388000
2014-10-01,0.462000,0.488750,0.419250,0.488500,0.467079,6607212000
2014-11-01,0.499750,0.527250,0.484500,0.524250,0.501261,4643096000
2014-12-01,0.522000,0.531250,0.477500,0.501250,0.481298,4257004000
2015-01-01,0.503250,0.518750,0.477000,0.480000,0.460894,4140352000
2015-02-01,0.483000,0.562500,0.473500,0.551500,0.529548,4193540000
2015-03-01,0.550000,0.590250,0.511500,0.523250,0.504357,7310444000
2015-04-01,0.525250,0.571000,0.516250,0.555000,0.534960,5673652000
2015-05-01,0.559500,0.572000,0.509500,0.553250,0.533274,7081336000
2015-06-01,0.556750,0.565000,0.499250,0.502750,0.486840,7333832000
2015-07-01,0.515250,0.522500,0.477250,0.498750,0.482966,5480404000
2015-08-01,0.502750,0.598750,0.496250,0.562000,0.544215,9469492000
2015-09-01,0.545750,0.617000,0.535000,0.616250,0.599259,6480208000
2015-10-01,0.616250,0.719500,0.586750,0.709250,0.689695,8052316000
2015-11-01,0.711500,0.798500,0.690750,0.793000,0.771136,7344816000
2015-12-01,0.800000,0.848500,0.799250,0.824000,0.804323,5627172000
2016-01-01,0.807250,0.836000,0.661250,0.732250,0.714764,8138980000
2016-02-01,0.731500,0.803000,0.618750,0.784000,0.765279,9000048000
2016-03-01,0.786000,0.906250,0.776000,0.890750,0.872647,6577904000
2016-04-01,0.885250,0.936500,0.865750,0.888250,0.870198,6734252000
2016-05-01,0.896750,1.170500,0.860000,1.168000,1.144263,10367836000
2016-06-01,1.162500,1.213500,1.114250,1.175250,1.154355,8197900000
2016-07-01,1.168750,1.431250,1.150750,1.427500,1.402121,7210052000
2016-08-01,1.433500,1.587500,1.387500,1.533500,1.506236,9305120000
2016-09-01,1.534750,1.729750,1.433000,1.713000,1.685646,8665252000
2016-10-01,1.713000,1.823750,1.592500,1.779000,1.750592,6551568000
2016-11-01,1.785500,2.381250,1.664500,2.305000,2.268193,12767464000
2016-12-01,2.302500,2.998250,2.119250,2.668500,2.629818,18082228000
2017-01-01,2.610000,2.797250,2.477750,2.729500,2.689934,13396840000
2017-02-01,2.764500,3.023000,2.392500,2.537000,2.500225,14206788000
2017-03-01,2.594750,2.750000,2.379250,2.723250,2.687162,14288960000
2017-04-01,2.723750,2.741250,2.387250,2.607500,2.572946,9572572000
2017-05-01,2.618500,3.675000,2.557750,3.608750,3.560927,19209444000
2017-06-01,3.624750,4.212500,3.552750,3.614000,3.569864,23445520000
2017-07-01,3.626250,4.248250,3.464500,4.062750,4.013132,15491016000
2017-08-01,4.053250,4.364000,3.822750,4.236000,4.184267,14728216000
2017-09-01,4.248750,4.780000,4.067750,4.469250,4.418556,14447336000
2017-10-01,4.520000,5.197250,4.425000,5.170250,5.111604,11422664000
2017-11-01,5.233750,5.466750,4.780750,5.017750,4.960834,11830896000
2017-12-01,4.982750,5.007500,4.514500,4.837500,4.785952,10112216000
2018-01-01,4.894500,6.231750,4.862500,6.145000,6.079518,11456216000
2018-02-01,5.963000,6.299250,5.100000,6.050000,5.985531,14915528000
2018-03-01,6.047750,6.362500,5.425000,5.789750,5.731613,14118440000
2018-04-01,5.718500,5.981250,5.257500,5.622500,5.566042,11144008000
2018-05-01,5.614250,6.512500,5.555000,6.304750,6.241442,11978240000
2018-06-01,6.350000,6.730000,5.875250,5.922500,5.866656,8785540000
2018-07-01,5.852250,6.415000,5.831500,6.121500,6.063780,6321876000
2018-08-01,6.153250,7.043000,5.968000,7.017000,6.950837,10917836000
